DATE,NIFTY_500_CLOSE,52W_HIGH,52W_LOW,PCT_HIGH,ABOVE_200SMA,PCT_ABOVE_200SMA
2006-09-20,2910.196044921875,10,6,4.3,148,63.8
2006-09-21,2945.09619140625,14,6,6.0,155,66.8
2006-09-22,2934.64599609375,11,6,4.7,152,65.5
2006-09-25,2919.99609375,12,6,5.2,145,62.5
2006-09-26,2950.796142578125,11,6,4.7,149,63.9
2006-09-27,2963.39599609375,18,7,7.7,151,64.5
2006-09-28,2965.49609375,19,7,8.1,156,66.7
2006-09-29,2988.24609375,20,7,8.5,154,65.5
2006-10-03,2984.99609375,16,6,6.8,158,67.2
2006-10-04,2948.796142578125,13,6,5.5,153,65.1
2006-10-05,2993.34619140625,17,6,7.2,163,69.4
2006-10-06,3002.64599609375,18,6,7.7,166,70.6
2006-10-09,3003.74609375,23,7,9.8,169,71.9
2006-10-10,3007.546142578125,18,6,7.6,171,72.5
2006-10-11,2987.39599609375,15,7,6.4,168,71.2
2006-10-12,3032.59619140625,13,6,5.5,172,72.9
2006-10-13,3064.89599609375,16,6,6.8,175,74.2
2006-10-16,3090.245849609375,19,6,8.1,171,72.5
2006-10-17,3077.845947265625,14,7,5.9,167,70.8
2006-10-18,3076.0458984375,13,7,5.5,167,70.8
2006-10-19,3051.34619140625,16,6,6.8,164,69.5
2006-10-20,3057.046142578125,17,6,7.2,163,69.1
2006-10-23,3048.046142578125,17,6,7.2,164,69.5
2006-10-26,3064.446044921875,20,6,8.5,165,69.9
2006-10-27,3111.2958984375,26,6,11.0,169,71.6
2006-10-30,3130.645751953125,24,6,10.2,167,70.8
2006-10-31,3114.5458984375,21,6,8.9,164,69.5
2006-11-01,3130.44580078125,23,6,9.7,169,71.6
2006-11-02,3150.395751953125,25,6,10.6,171,72.5
2006-11-03,3161.395751953125,22,6,9.3,166,70.3
2006-11-06,3173.0458984375,23,7,9.7,168,71.2
2006-11-07,3167.0458984375,24,6,10.2,167,70.8
2006-11-08,3141.395751953125,14,6,5.9,162,68.6
2006-11-09,3156.19580078125,21,6,8.9,163,69.1
2006-11-10,3186.69580078125,24,6,10.2,164,69.5
2006-11-13,3215.395751953125,24,6,10.2,168,71.2
2006-11-14,3216.845947265625,30,6,12.7,171,72.5
2006-11-15,3225.645751953125,27,6,11.4,170,72.0
2006-11-16,3226.845947265625,29,6,12.3,168,71.2
2006-11-17,3200.595947265625,17,7,7.2,163,69.1
2006-11-20,3191.2958984375,11,7,4.7,157,66.5
2006-11-21,3244.645751953125,15,5,6.3,164,69.2
2006-11-22,3273.545654296875,25,5,10.5,164,69.2
2006-11-23,3277.345703125,22,5,9.3,161,67.9
2006-11-24,3290.99560546875,25,5,10.5,168,70.9
2006-11-27,3307.545654296875,30,5,12.7,170,71.7
2006-11-28,3267.195556640625,17,5,7.1,166,69.7
2006-11-29,3274.6455078125,19,6,8.0,169,71.0
2006-11-30,3280.445556640625,23,6,9.7,160,67.2
2006-12-01,3318.8955078125,22,7,9.2,170,71.4
2006-12-04,3331.6455078125,28,6,11.8,172,72.3
2006-12-05,3339.1455078125,24,5,10.1,170,71.4
2006-12-06,3325.99560546875,19,5,8.0,166,69.7
2006-12-07,3330.195556640625,18,5,7.6,168,70.6
2006-12-08,3295.595703125,17,5,7.1,165,69.3
2006-12-11,3195.245849609375,11,6,4.6,153,64.3
2006-12-12,3071.796142578125,7,8,2.9,135,56.7
2006-12-13,3128.69580078125,7,10,2.9,142,59.7
2006-12-14,3202.595947265625,11,5,4.6,153,64.3
2006-12-15,3235.44580078125,13,5,5.5,156,65.5
2006-12-18,3252.69580078125,11,9,4.6,149,62.6
2006-12-19,3179.995849609375,10,8,4.2,147,61.5
2006-12-20,3164.94580078125,11,7,4.6,147,61.3
2006-12-21,3176.745849609375,12,9,5.0,150,62.5
2006-12-22,3208.7958984375,14,7,5.8,152,63.3
2006-12-26,3261.3955078125,17,7,7.1,156,65.0
2006-12-27,3289.195556640625,14,6,5.8,159,66.2
2006-12-28,3288.545654296875,15,8,6.2,161,67.1
2006-12-29,3295.045654296875,18,7,7.5,165,68.8
2007-01-02,3323.095703125,23,5,9.6,171,71.2
